Ecclesiastes 7:3	Sorrow [is] better than laughter: for by the sadness of the countenance the heart is made better.
Ecclesiastes 7:4	The heart of the wise [is] in the house of mourning; but the heart of fools [is] in the house of mirth.
Ecclesiastes 7:5	[It is] better to hear the rebuke of the wise, than for a man to hear the song of fools.
Ecclesiastes 7:6	For as the crackling of thorns under a pot, so [is] the laughter of the fool: this also [is] vanity.
Ecclesiastes 7:7	Surely oppression maketh a wise man mad; and a gift destroyeth the heart.
Ecclesiastes 7:8	Better [is] the end of a thing than the beginning thereof: [and] the patient in spirit [is] better than the proud in spirit.
Ecclesiastes 7:9	Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.
Ecclesiastes 7:10	Say not thou, What is [the cause] that the former days were better than these? for thou dost not inquire wisely concerning this.
Ecclesiastes 7:11	Wisdom [is] good with an inheritance: and [by it there is] profit to them that see the sun.
Ecclesiastes 7:12	For wisdom [is] a defence, [and] money [is] a defence: but the excellency of knowledge [is, that] wisdom giveth life to them that have it.
Ecclesiastes 7:13	Consider the work of God: for who can make [that] straight, which he hath made crooked?
Ecclesiastes 7:14	In the day of prosperity be joyful, but in the day of adversity consider: God also hath set the one over against the other, to the end that man should find nothing after him.
Ecclesiastes 7:15	All [things] have I seen in the days of my vanity: there is a just [man] that perisheth in his righteousness, and there is a wicked [man] that prolongeth [his life] in his wickedness.
Ecclesiastes 7:16	Be not righteous over much; neither make thyself over wise: why shouldest thou destroy thyself?
Ecclesiastes 7:17	Be not over much wicked, neither be thou foolish: why shouldest thou die before thy time?
Ecclesiastes 7:18	[It is] good that thou shouldest take hold of this; yea, also from this withdraw not thine hand: for he that feareth God shall come forth of them all.
Ecclesiastes 7:19	Wisdom strengtheneth the wise more than ten mighty [men] which are in the city.
Ecclesiastes 7:20	For [there is] not a just man upon earth, that doeth good, and sinneth not.
Ecclesiastes 7:21	Also take no heed unto all words that are spoken; lest thou hear thy servant curse thee:
Ecclesiastes 7:22	For oftentimes also thine own heart knoweth that thou thyself likewise hast cursed others.
Ecclesiastes 7:23	All this have I proved by wisdom: I said, I will be wise; but it [was] far from me.
Ecclesiastes 7:24	That which is far off, and exceeding deep, who can find it out?
Ecclesiastes 7:25	I applied mine heart to know, and to search, and to seek out wisdom, and the reason [of things], and to know the wickedness of folly, even of foolishness [and] madness:
Ecclesiastes 7:26	And I find more bitter than death the woman, whose heart [is] snares and nets, [and] her hands [as] bands: whoso pleaseth God shall escape from her; but the sinner shall be taken by her.
Ecclesiastes 7:27	Behold, this have I found, saith the preacher, [counting] one by one, to find out the account:
Ecclesiastes 7:28	Which yet my soul seeketh, but I find not: one man among a thousand have I found; but a woman among all those have I not found.
Ecclesiastes 7:29	Lo, this only have I found, that God hath made man upright; but they have sought out many inventions.
Ecclesiastes 8:1	Who [is] as the wise [man]? and who knoweth the interpretation of a thing? a man’s wisdom maketh his face to shine, and the boldness of his face shall be changed.
Ecclesiastes 8:2	I [counsel thee] to keep the king’s commandment, and [that] in regard of the oath of God.
Ecclesiastes 8:3	Be not hasty to go out of his sight: stand not in an evil thing; for he doeth whatsoever pleaseth him.
Ecclesiastes 8:4	Where the word of a king [is, there is] power: and who may say unto him, What doest thou?
Ecclesiastes 8:5	Whoso keepeth the commandment shall feel no evil thing: and a wise man’s heart discerneth both time and judgment.
Ecclesiastes 8:6	Because to every purpose there is time and judgment, therefore the misery of man [is] great upon him.
Ecclesiastes 8:7	For he knoweth not that which shall be: for who can tell him when it shall be?
